,date,rf,price,shift_1,ret,excess_ret,cumulative_excess_ret,log_cumulative_excess_return
134,2020-07-14,0.0015,40.3,40.06,0.005991013479780202,0.004491013479780202,-0.7036357995374685,0.0044809589707937025
135,2020-07-15,0.0016,41.2,40.3,0.022332506203474087,0.020732506203474086,-0.6974914269128915,0.020520512891382348
136,2020-07-16,0.0011,40.74,41.2,-0.01116504854368934,-0.01226504854368934,-0.7012017092466871,-0.012340884981271616
137,2020-07-17,0.0011,40.55,40.74,-0.004663721158566638,-0.005763721158566638,-0.7029238992772455,-0.005780395501072677
138,2020-07-20,0.0013,40.83,40.55,0.006905055487053049,0.005605055487053049,-0.7012587712488171,0.005589405615246346
139,2020-07-21,0.0013,41.76,40.83,0.022777369581190296,0.021477369581190297,-0.694842595469789,0.021249980924593403
140,2020-07-22,0.0013,41.88,41.76,0.002873563218390914,0.001573563218390914,-0.6943624110022006,0.0015723264650262525
141,2020-07-23,0.0012,40.99,41.88,-0.02125119388729705,-0.02245119388729705,-0.7012243397720362,-0.022707058841991756
142,2020-07-24,0.0011,41.23,40.99,0.005855086606489262,0.004755086606489262,-0.6998036356317413,0.004743816893690855
143,2020-07-27,0.0011,41.46,41.23,0.005578462284744215,0.004478462284744215,-0.6984592175359008,0.00446846381326349
144,2020-07-28,0.0011,40.89,41.46,-0.013748191027496389,-0.014848191027496389,-0.7029365526765083,-0.01495952890116814
145,2020-07-29,0.0011,41.13,40.89,0.0058694057226706285,0.004769405722670628,-0.7015197365708474,0.004758068141920591
146,2020-07-30,0.0009,39.85,41.13,-0.031120836372477537,-0.03202083637247754,-0.7110773242465264,-0.032544717115409405
147,2020-07-31,0.0009,40.1,39.85,0.006273525721455458,0.005373525721455458,-0.7095247908168534,0.005359139844358207
148,2020-08-03,0.001,40.83,40.1,0.018204488778054785,0.017204488778054784,-0.7045273133401588,0.017058167432668414
149,2020-08-04,0.0009,41.67,40.83,0.02057310800881713,0.01967310800881713,-0.6987144472618443,0.019482093586441707
150,2020-08-05,0.001,42.25,41.67,0.013918886489080831,0.012918886489080832,-0.6948221734052201,0.012836149493026028
151,2020-08-06,0.001,41.93,42.25,-0.007573964497041427,-0.008573964497041427,-0.697438757255728,-0.008610932389913284
152,2020-08-07,0.001,41.16,41.93,-0.01836393989983313,-0.019363939899833132,-0.7032975349762469,-0.019553876934946146
153,2020-08-10,0.0011,41.94,41.16,0.018950437317784286,0.017850437317784285,-0.6980012662223083,0.017692989179383556
154,2020-08-11,0.0011,41.53,41.94,-0.009775870290891669,-0.01087587029089167,-0.701285765278888,-0.010935444912528736
155,2020-08-12,0.0011,42.6,41.53,0.02576450758487841,0.02466450758487841,-0.693918125770898,0.02436524933957962
156,2020-08-13,0.001,42.26,42.6,-0.007981220657277075,-0.008981220657277075,-0.6966671146225425,-0.00902179493994737
157,2020-08-14,0.001,42.05,42.26,-0.0049692380501656615,-0.0059692380501656615,-0.6984777808238041,-0.0059871251687826366
158,2020-08-17,0.001,42.89,42.05,0.019976218787158228,0.018976218787158227,-0.6927560292235271,0.01879841617351552
159,2020-08-18,0.0009,42.89,42.89,0.0,-0.0009,-0.693032548797226,-0.0009004052431644816
160,2020-08-19,0.0011,42.91,42.89,0.0004663091629749597,-0.0006336908370250403,-0.6932270712583182,-0.0006338917039265812
161,2020-08-20,0.0011,42.62,42.91,-0.0067583313912840635,-0.007858331391284064,-0.695637794594245,-0.007889370796302142
162,2020-08-21,0.001,42.32,42.62,-0.007038948850304955,-0.008038948850304956,-0.6980845467954679,-0.00807143542201083
163,2020-08-24,0.0012,42.44,42.32,0.0028355387523628884,0.0016355387523628885,-0.6975907523718146,0.001634202715420141
164,2020-08-25,0.0011,43.17,42.44,0.017200754005655138,0.016100754005655138,-0.692721735466718,0.015972511567935888
165,2020-08-26,0.0011,43.21,43.17,0.0009265693768820743,-0.00017343062311792577,-0.6927750269276066,-0.00017344566394750238
166,2020-08-27,0.0011,42.88,43.21,-0.007637121036796998,-0.008737121036796998,-0.6954592887028668,-0.008775513468602059
167,2020-08-28,0.001,42.96,42.88,0.0018656716417910048,0.0008656716417910048,-0.6951956564453261,0.0008652971641955887
168,2020-09-01,0.0012,42.76,42.61,0.0035203003989673454,0.0023203003989673452,-0.6944884188053692,0.002317612658770507
169,2020-09-02,0.0012,42.76,42.76,0.0,-0.0012,-0.6948550327028027,-0.0012007205765189877
170,2020-09-03,0.0011,41.39,42.76,-0.03203928905519171,-0.03313928905519171,-0.7049673199778015,-0.03370083636020138
171,2020-09-04,0.0011,39.69,41.39,-0.04107272287992275,-0.04217272287992275,-0.7174096514328987,-0.0430878125481815
172,2020-09-08,0.0013,36.87,39.69,-0.07105064247921392,-0.07235064247921391,-0.7378552447101534,-0.0751014650974422
173,2020-09-09,0.0012,38.05,36.87,0.03200433957146731,0.03080433957146731,-0.7297800486513258,0.030339409693562747
174,2020-09-10,0.0012,37.25,38.05,-0.021024967148488758,-0.022224967148488758,-0.7357856781929164,-0.022475663166953597
175,2020-09-11,0.0011,37.33,37.25,0.0021476510067113637,0.0010476510067113636,-0.7355088737926876,0.0010471026033858077
176,2020-09-14,0.0011,37.23,37.33,-0.0026788106080900464,-0.0037788106080900467,-0.7365083356661455,-0.0037859683504208874
177,2020-09-15,0.0011,38.29,37.23,0.028471662637657866,0.027371662637657865,-0.7292961307221641,0.02700375704485536
178,2020-09-16,0.0012,40.17,38.29,0.04909898145729962,0.04789898145729962,-0.7163296911072059,0.04678718951365002
179,2020-09-17,0.0009,40.99,40.17,0.020413243714214595,0.019513243714214593,-0.7107943632352942,0.019325301349385926
180,2020-09-18,0.001,41.09,40.99,0.0024396194193706125,0.0014396194193706125,-0.7103780171844163,0.0014385841608008931
181,2020-09-21,0.001,39.26,41.09,-0.04453638354830872,-0.04553638354830872,-0.7235663548779284,-0.04660575445620796
182,2020-09-22,0.001,39.55,39.26,0.007386653082017299,0.006386653082017299,-0.7218008690863362,0.006366344835176729
183,2020-09-23,0.0011,39.92,39.55,0.009355246523388231,0.008255246523388231,-0.7195042666780516,0.008221358351541808
184,2020-09-24,0.001,40.11,39.92,0.0047595190380760955,0.0037595190380760955,-0.7184497376285286,0.003752469708911077
185,2020-09-25,0.001,40.06,40.11,-0.0012465719272001287,-0.0022465719272001285,-0.7190822605440681,-0.0022490992558383827
186,2020-09-28,0.0011,40.47,40.06,0.010234648027957977,0.009134648027957977,-0.7165161758693286,0.009093179473125934
187,2020-09-29,0.0009,39.03,40.47,-0.03558191252779831,-0.03648191252779831,-0.7268582079443096,-0.03716401862908736
188,2020-09-30,0.001,40.05,39.03,0.0261337432744042,0.0251337432744042,-0.7199931322652712,0.024823085321755478
189,2020-10-01,0.0009,38.51,40.05,-0.038451935081148546,-0.039351935081148544,-0.731011944346644,-0.04014715465210528
190,2020-10-02,0.0009,36.9,38.51,-0.04180732277330562,-0.04270732277330562,-0.7424997040615957,-0.04364610646189182
191,2020-10-05,0.001,39.12,36.9,0.060162601626016235,0.059162601626016234,-0.7272653166344105,0.05747859744472272
192,2020-10-06,0.001,40.52,39.12,0.03578732106339483,0.03478732106339483,-0.7177776076390485,0.03419591870673666
193,2020-10-07,0.001,39.82,40.52,-0.017275419545903326,-0.018275419545903327,-0.7229353402646934,-0.018444477935519288
194,2020-10-08,0.0009,41.04,39.82,0.030637870416875913,0.029737870416875912,-0.714696027316389,0.029304275111365463
195,2020-10-09,0.001,40.44,41.04,-0.014619883040935708,-0.015619883040935707,-0.7191524420008213,-0.015743158801012846
196,2020-10-12,0.001,39.22,40.44,-0.03016815034619186,-0.031168150346191862,-0.7279059409129006,-0.03166421191843538
197,2020-10-13,0.0011,40.03,39.22,0.02065272819989807,0.01955272819989807,-0.7225857597307636,0.01936402936136039
198,2020-10-14,0.0012,40.86,40.03,0.02073444916312761,0.01953444916312761,-0.7171666253570965,0.019346100714685344
199,2020-10-15,0.0011,40.84,40.86,-0.0004894762604012731,-0.0015894762604012733,-0.7176161822917406,-0.001590740817959846
